RR Publisher,RR Name,Id,Level 1 Indicator,Level 2 Indicator,Level 3 Indicator,Level 4 Indicator,Dependencies,Calculation,Score Low,Score High,Measure,Level,Data Source,Survey Instrument,Collection Method
World Bank,Ease of Doing Business Index,edbi_pmi_1,,Extent of conflict of interest regulation index ,,,"edbi_pmi_1_a, edbi_pmi_1_b, edbi_pmi_1_c",,0,10,,2nd order index,,,
World Bank,Ease of Doing Business Index,edbi_pmi_1_a,,,Extent of disclosure index ,,"edbi_pmi_1_a1, edbi_pmi_1_a2, edbi_pmi_1_a3, edbi_pmi_1_a4, edbi_pmi_1_a5",,0,10,,3rd order index,,,
World Bank,Ease of Doing Business Index,edbi_pmi_1_a1,,,,Which corporate body can provide legally sufficient approval for the transaction,,"A score of 0 is assigned if it is the CEO or the managing director alone; 1 if the board of directors, the supervisory board or shareholders must vote and Mr. James is permitted to vote; 2 if the board of directors or the supervisory board must vote and Mr. James is not permitted to vote; 3 if shareholders must vote and Mr. James is not permitted to vote (Mr. James is Buyer’s controlling shareholder and a member of Buyer’s board of directors)",0,2,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_1_a2,,,,"Whether it is required that an external body, for example, an external auditor, review the transaction before it takes place",,A score of 0 is assigned if no; 1 if yes,0,2,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_1_a3,,,,Whether disclosure by Mr. James to the board of directors or the supervisory board is required,,A score of 0 is assigned if no disclosure is required; 1 if a general disclosure of the existence of a conflict of interest is required without any specifics; 2 if full disclosure of all material facts relating to Mr. James’s interest in the Buyer-Seller transaction is required,0,2,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_1_a4,,,,"Whether immediate disclosure of the transaction to the public, the regulator or the shareholders is required",,A score of 0 is assigned if no disclosure is required; 1 if disclosure on the terms of the transaction is required but not on Mr. James’s conflict of interest; 2 if disclosure on both the terms and Mr. James’s conflict of interest is required,0,2,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_1_a5,,,,Whether disclosure in the annual report is required,,A score of 0 is assigned if no disclosure on the transaction is required; 1 if disclosure on the terms of the transaction is required but not on Mr. James’s conflict of interest; 2 if disclosure on both the terms and Mr. James’s conflict of interest is required,0,2,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_1_b,,,Extent of director liability index ,,"edbi_pmi_1_b1, edbi_pmi_1_b2, edbi_pmi_1_b3, edbi_pmi_1_b4, edbi_pmi_1_b5, edbi_pmi_1_b6, edbi_pmi_1_b7",,0,10,,3rd order index,,,
World Bank,Ease of Doing Business Index,edbi_pmi_1_b1,,,,Whether shareholder plaintiffs are able to sue directly or derivatively for the damage the transaction causes to the company ,,A score of 0 is assigned if suits are unavailable or are available only for shareholders holding more than 10% of the company’s share capital; 1 if direct or derivative suits are available for shareholders holding 10% of share capital,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_1_b2,,,,Whether a shareholder plaintiff is able to hold Mr. James liable for the damage the Buyer-Seller transaction causes to the company ,,"A score of 0 is assigned if Mr. James cannot be held liable or can be held liable only for fraud, bad faith or gross negligence; 1 if Mr. James can be held liable only if he influenced the approval of the transaction or was negligent; 2 if Mr. James can be held liable when the transaction is unfair or prejudicial to the other shareholders",0,2,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_1_b3,,,,"Whether a shareholder plaintiff is able to hold the approving body (the CEO, members of the board of directors or members of the supervisory board) liable for the damage the transaction causes to the company ",,"A score of 0 is assigned if the approving body cannot be held liable or can be held liable only for fraud, bad faith or gross negligence; 1 if the approving body can be held liable for negligence; 2 if the approving body can be held liable when the transaction is unfair or prejudicial to the other shareholders",0,2,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_1_b4,,,,Whether Mr. James pays damages for the harm caused to the company upon a successful claim by the shareholder plaintiff ,,A score of 0 is assigned if no; 1 if yes.,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_1_b5,,,,Whether Mr. James repays profits made from the transaction upon a successful claim by the shareholder plaintiff ,,A score of 0 is assigned if no; 1 if yes,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_1_b6,,,,Whether Mr. James is fined and imprisoned or disqualified upon a successful claim by the shareholder plaintiff ,,"A score of 0 is assigned if no; 1 if he is fined and imprisoned or if he is disqualified—that is, disallowed from representing or holding a managerial position in any company for a year or more",0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_1_b7,,,,Whether a court can void the transaction upon a successful claim by a shareholder plaintiff ,,"A score of 0 is assigned if rescission is unavailable or is available only in case of fraud, bad faith or gross negligence; 1 if rescission is available when the transaction is oppressive or prejudicial to the other shareholders; 2 if rescission is available when the transaction is unfair or entails a conflict of interest",0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_1_c,,,Ease of shareholder suits index ,,"edbi_pmi_1_c1, edbi_pmi_1_c2, edbi_pmi_1_c3, edbi_pmi_1_c4, edbi_pmi_1_c5, edbi_pmi_1_c6",,0,10,,3rd order index,,,
World Bank,Ease of Doing Business Index,edbi_pmi_1_c1,,,,Whether shareholders owning 10% of the company’s share capital have the right to inspect the transaction documents before filing suit or request that a government inspector investigate the Buyer-Seller transaction without filing suit,,A score of 0 is assigned if no; 1 if yes,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_1_c2,,,,What range of documents is available to the shareholder plaintiff from the defendant and witnesses during trial,,A score of 1 is assigned for each of the following types of documents available: information that the defendant has indicated he intends to rely on for his defense; information that directly proves specific facts in the plaintiff’s claim; and any information relevant to the subject matter of the claim.,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_1_c3,,,,Whether the plaintiff can obtain categories of relevant documents from the defendant without identifying each document specifically,,A score of 0 is assigned if no; 1 if yes,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_1_c4,,,,Whether the plaintiff can directly examine the defendant and witnesses during trial,,"A score of 0 is assigned if no; 1 if yes, with prior approval of the questions by the judge; 2 if yes, without prior approval",0,2,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_1_c5,,,,Whether the standard of proof for civil suits is lower than that for a criminal case,,A score of 0 is assigned if no; 1 if yes,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_1_c6,,,,Whether shareholder plaintiffs can recover their legal expenses from the company,,A score of 0 is assigned if no; 1 if plaintiffs can recover their legal expenses from the company only upon a successful outcome of their legal action or if payment of their attorney fees is contingent on a successful outcome; 2 if plaintiffs can recover their legal expenses from the company regardless of the outcome of their legal action,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_2,,Extent of shareholder governance index,,,"edbi_pmi_2_a, edbi_pmi_2_b, edbi_pmi_2_c",,,,,2nd order index,,,
World Bank,Ease of Doing Business Index,edbi_pmi_2_a,,,Extent of shareholder rights index ,,"edbi_pmi_2_a1, edbi_pmi_2_a2, edbi_pmi_2_a3, edbi_pmi_2_a4, edbi_pmi_2_a5, edbi_pmi_2_a6, edbi_pmi_2_a7, edbi_pmi_2_a8, edbi_pmi_2_a9, edbi_pmi_2_a10",,,,,3rd order index,,,
World Bank,Ease of Doing Business Index,edbi_pmi_2_a1,,,,Whether the sale of 51% of Buyer’s assets requires shareholder approval,,A score of 0 is assigned if the answer is no; 1 if yes,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_2_a2,,,,Whether shareholders representing 10% of Buyer’s share capital have the right to call for an extraordinary meeting of shareholders,,A score of 0 is assigned if the answer is no; 1 if yes,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_2_a3,,,,Whether Buyer must obtain its shareholders’ approval every time it issues new shares,,A score of 0 is assigned if the answer is no; 1 if yes,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_2_a4,,,,Whether shareholders automatically receive preemption or subscription rights every time Buyer issues new shares,,A score of 0 is assigned if the answer is no; 1 if yes,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_2_a5,,,,Whether the election and dismissal of the external auditor must be approved by the shareholders,,A score of 0 is assigned if the answer is no; 1 if yes,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_2_a6,,,,Whether changes to the voting rights of a class of shares must be approved only by the holders of the affected shares,,A score of 0 is assigned if the answer is no; 1 if yes,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_2_a7,,,,"Assuming that Buyer is a limited company, whether the sale of 51% of Buyer’s assets requires shareholder approval",,A score of 0 is assigned if the answer is no; 1 if yes,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_2_a8,,,,"Assuming that Buyer is a limited company, whether shareholders representing 10% of Buyer’s share capital have the right to call for an extraordinary meeting of shareholders",,A score of 0 is assigned if the answer is no; 1 if yes,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_2_a9,,,,"Assuming that Buyer is a limited company, whether Buyer must obtain its shareholders’ approval every time it issues new shares",,A score of 0 is assigned if the answer is no; 1 if yes,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_2_a10,,,,"Assuming that Buyer is a limited company, whether shareholders automatically receive preemption or subscription rights every time Buyer issues new shares",,A score of 0 is assigned if the answer is no; 1 if yes,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_2_b,,,Extent of ownership and control index ,,"edbi_pmi_2_b1, edbi_pmi_2_b2, edbi_pmi_2_b3, edbi_pmi_2_b4, edbi_pmi_2_b5, edbi_pmi_2_b6, edbi_pmi_2_b7, edbi_pmi_2_b8, edbi_pmi_2_b9, edbi_pmi_2_b10",,,,,3rd order index,,,
World Bank,Ease of Doing Business Index,edbi_pmi_2_b1,,,,Whether the CEO is prohibited from also being chair of the board of directors,,A score of 0 is assigned if the answer is no; 1 if yes,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_2_b2,,,,Whether the board of directors must include independent and nonexecutive board members,,A score of 0 is assigned if the answer is no; 1 if yes,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_2_b3,,,,Whether members of Buyer’s board of directors can be removed without cause by shareholders before the end of their term,,A score of 0 is assigned if the answer is no; 1 if yes,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_2_b4,,,,Whether Buyer’s board of directors must include a separate audit committee,,A score of 0 is assigned if the answer is no; 1 if yes,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_2_b5,,,,Whether a potential acquirer must make a tender offer to all shareholders upon acquiring 50% of Buyer,,A score of 0 is assigned if the answer is no; 1 if yes,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_2_b6,,,,Whether Buyer must pay dividends within a maximum period set by law after the declaration date,,A score of 0 is assigned if the answer is no; 1 if yes,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_2_b7,,,,Whether a subsidiary is barred from acquiring shares issued by its parent company,,A score of 0 is assigned if the answer is no; 1 if yes,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_2_b8,,,,"Assuming that Buyer is a limited company, whether members of Buyer’s board of directors can be removed without cause by shareholders before the end of their term",,A score of 0 is assigned if the answer is no; 1 if yes,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_2_b9,,,,"Assuming that Buyer is a limited company, whether a potential acquirer must make a tender offer to all shareholders upon acquiring 50% of Buyer",,A score of 0 is assigned if the answer is no; 1 if yes,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_2_b10,,,,"Assuming that Buyer is a limited company, whether Buyer must pay dividends within a maximum period set by law after the declaration date",,A score of 0 is assigned if the answer is no; 1 if yes,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_2_c,,,Extent of corporate transparency index ,,"edbi_pmi_2_c1, edbi_pmi_2_c2, edbi_pmi_2_c3, edbi_pmi_2_c4, edbi_pmi_2_c5, edbi_pmi_2_c6, edbi_pmi_2_c7, edbi_pmi_2_c8, edbi_pmi_2_c9, edbi_pmi_2_c10",,,,,3rd order index,,,
World Bank,Ease of Doing Business Index,edbi_pmi_2_c1,,,,Whether Buyer must disclose direct and indirect beneficial ownership stakes representing 5%,,A score of 0 is assigned if the answer is no; 1 if yes,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_2_c2,,,,Whether Buyer must disclose information about board members’ other directorships as well as basic information on their primary employment,,A score of 0 is assigned if the answer is no; 1 if yes,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_2_c3,,,,Whether Buyer must disclose the compensation of individual managers,,A score of 0 is assigned if the answer is no; 1 if yes,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_2_c4,,,,Whether a detailed notice of general meeting must be sent 30 days before the meeting,,A score of 0 is assigned if the answer is no; 1 if yes,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_2_c5,,,,Whether shareholders representing 5% of Buyer’s share capital can put items on the agenda for the general meeting,,A score of 0 is assigned if the answer is no; 1 if yes,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_2_c6,,,,Whether Buyer must have its annual financial statements audited by an external auditor,,A score of 0 is assigned if the answer is no; 1 if yes,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_2_c7,,,,Whether Buyer must disclose its audit reports to the public,,A score of 0 is assigned if the answer is no; 1 if yes,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_2_c8,,,,"Assuming that Buyer is a limited company, whether a detailed notice of general meeting must be sent 30 days before the meeting",,A score of 0 is assigned if the answer is no; 1 if yes,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_2_c9,,,,"Assuming that Buyer is a limited company, whether shareholders representing 5% of Buyer’s share capital can put items on the agenda for the general meeting",,A score of 0 is assigned if the answer is no; 1 if yes,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi_2_c10,,,,"Assuming that Buyer is a limited company, whether Buyer must have its annual financial statements audited by an external auditor",,A score of 0 is assigned if the answer is no; 1 if yes,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pt,Paying Taxes,,,,"edbi_pt_1, edbi_pt_2, edbi_pt_3",,,,,1st order index,,,
World Bank,Ease of Doing Business Index,edbi_pt_1,,Payments (number per year),,,,"Total number of taxes and contributions paid, including consumption taxes (value added tax, sales tax or good and service tax), adjusted for electronic and joint filing and payment",,,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pt_2,,Time (hours per year),,,,"Time spent collecting information and computing the tax payable, completing the tax return forms, filing with proper agencies, arranging payments or withholding, preparing separate mandatory tax accounting books, if required",,,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pt_3,,Total tax rate (% of profit),,,,"Includes profit or corporate income tas; social contributions and labor taxes paid by the employer; property and property transfer taxes; dividend, capital gains, and financial transactions taxes; waste collection, vehicle, road and other taxes",,,,variable,,,
World Bank,Ease of Doing Business Index,edbi_tab,Trading Across Borders,,,,"edbi_tab_1, edbi_tab_2, edbi_tab_3, edbi_tab_4, edbi_tab_5, edbi_tab_6, edbi_tab_7, edbi_tab_8",,,,,1st order index,,,
World Bank,Ease of Doing Business Index,edbi_tab_1,,Time to export: Border compliance (hours),,,,"Time is measured in hours, and 1 day is 24 hours",,,,variable,,,
World Bank,Ease of Doing Business Index,edbi_tab_2,,Cost to export: Border compliance (USD),,,,Based on prevailing exchange rate on the day the contributors answer the questionnaire,,,,variable,,,
World Bank,Ease of Doing Business Index,edbi_tab_3,,Time to export: Documentary compliance (hours),,,,"Includes time spent obtaining, preparing, and submitting documents during transport, clearance, inspections, and port or border handling in origin economy; obtaining, preparing, and submitting documents required by destination economy and any transit economies; covers all documents required by law and in practice, including electronic submissions of information as well as non-shipment-specific documents necessary to complete the trade",,,,variable,,,
World Bank,Ease of Doing Business Index,edbi_tab_4,,Cost to export: Documentary compliance (USD),,,,"Includes costs associated with obtaining, preparing, and submitting documents during transport, clearance, inspections, and port or border handling in origin economy; obtaining, preparing, and submitting documents required by destination economy and any transit economies; covers all documents required by law and in practice, including electronic submissions of information as well as non-shipment-specific documents necessary to complete the trade",,,,variable,,,
World Bank,Ease of Doing Business Index,edbi_tab_5,,Time to import: Border compliance (hours),,,,"Includes time spent during customs clearance and inspections by customs; inspections by other agencies (if applied ot more than 10% of shipments); port or border handling at most widely used port or border of economy; obtaining, preparing and submitting documents during clearance, inspections, and port or border handling",,,,variable,,,
World Bank,Ease of Doing Business Index,edbi_tab_6,,Cost to import: Border compliance (USD),,,,"Includes costs associated with customs clearance and inspections by customs; inspections by other agencies (if applied ot more than 10% of shipments); port or border handling at most widely used port or border of economy; obtaining, preparing and submitting documents during clearance, inspections, and port or border handling",,,,variable,,,
World Bank,Ease of Doing Business Index,edbi_tab_7,,Time to import: Documentary compliance (hours),,,,"Includes time spent obtaining, preparing, and submitting documents during transport, clearance, inspections, and port or border handling in origin economy; obtaining, preparing, and submitting documents required by destination economy and any transit economies; covers all documents required by law and in practice, including electronic submissions of information as well as non-shipment-specific documents necessary to complete the trade",,,,variable,,,
World Bank,Ease of Doing Business Index,edbi_tab_8,,Cost to import: Documentary compliance (USD),,,,"Includes costs associated with obtaining, preparing, and submitting documents during transport, clearance, inspections, and port or border handling in origin economy; obtaining, preparing, and submitting documents required by destination economy and any transit economies; covers all documents required by law and in practice, including electronic submissions of information as well as non-shipment-specific documents necessary to complete the trade",,,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ef,Enforcing Contracts,,,,"edbi_ef_1, edbi_ef_2, edbi_ef_3",,,,,1st order index,,,
World Bank,Ease of Doing Business Index,edbi_ef_1,,Time (days),,,,"Time required to enforce a contract through the courts. Includes time to file and serve the case, time for trial and to obtain the judgement, and time to enforce the judgement",,,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ef_2,,Cost (% of claim),,,,"Cost required to enforce a contract through the courts. Includes average attorney fees, court costs, and enforcement costs",,,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ef_3,,Quality of judicial processes index,,,"edbi_ef_3_a, edbi_ef_3_b, edbi_ef_3_c, edbi_ef_3_d","Sum of the court structure and proceedings, case management, court automation, and alternative dispute resolution indicies",0,18,,2nd order index,,,
World Bank,Ease of Doing Business Index,edbi_ef_3_a,,,Court structure and proceedings index,,"edbi_ef_3_a1, edbi_ef_3_a2, edbi_ef_3_a3, edbi_ef_3_a4",,0,5,,3rd order index,,,
World Bank,Ease of Doing Business Index,edbi_ef_3_a1,,,,Whether a specialized commercial court or a section dedicated solely to hearing commercial cases is in place,,A score of 1.5 is assigned if yes; 0 if no,0,1.5,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ef_3_a2,,,,Whether a small claims court or a fast-track procedure for small claims is in place,,"A score of 1 is assigned if such a court or procedure is in place, it is applicable to all civil cases and the law sets a cap on the value of cases that can be handled through this court or procedure. If small claims are handled by a stand-alone court, the point is assigned only if this court applies a simplified procedure. An additional score of 0.5 is assigned if parties can represent themselves before this court or during this procedure. If no small claims court or simplified procedure is in place, a score of 0 is assigned",0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ef_3_a3,,,,Whether plaintiffs can obtain pretrial attachment of the defendant’s movable assets if they fear the assets may be moved out of the jurisdiction or otherwise dissipated,,A score of 1 is assigned if yes; 0 if no,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ef_3_a4,,,,Whether cases are assigned randomly and automatically to judges throughout the competent court,,A score of 1 is assigned if the assignment of cases is random and automated; 0.5 if it is random but not automated; 0 if it is neither random nor automated,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ef_3_b,,,Case management index,,"edbi_ef_3_b1, edbi_ef_3_b2, edbi_ef_3_b3, edbi_ef_3_b4, edbi_ef_3_b5, dbi_ef_3_b6",,0,6,,3rd order index,,,
World Bank,Ease of Doing Business Index,edbi_ef_3_b1,,,,Whether any of the applicable laws or regulations on civil procedure contain time standards for at least three of the following key court events: (i) service of process; (ii) first hearing; (iii) filing of the statement of defense; (iv) completion of the evidence period; and (v) submission of the final judgment,,A score of 1 is assigned if such time standards are available and respected in more than 50% of cases; 0.5 if they are available but not respected in more than 50% of cases; 0 if there are time standards for less than three of these key court events.,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ef_3_b2,,,,"Whether there are any laws regulating the maximum number of adjournments or continuances that can be granted, whether adjournments are limited by law to unforeseen and exceptional circumstances and whether these rules are respected in more than 50% of cases",,A score of 1 is assigned if all three conditions are met; 0.5 if only two of the three conditions are met; 0 if only one of the conditions is met or if none are,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ef_3_b3,,,,"Whether there are any performance measurement reports that can be generated about the competent court to monitor the court’s performance, to monitor the progress of cases through the court and to ensure compliance with established time standards",,A score of 1 is assigned if at least two of the following four reports are made publicly available: (i) time to disposition report; (ii) clearance rate report; (iii) age of pending cases report; and (iv) single case progress report. A score of 0 is assigned if only one of these reports is available or if none are,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ef_3_b4,,,,Whether a pretrial conference is among the case management techniques used before the competent court and at least three of the following issues are discussed during the pretrial conference: (i) scheduling (including the time frame for filing motions and other documents with the court); (ii) case complexity and projected length of trial; (iii) possibility of settlement or alternative dispute resolution; (iv) exchange of witness lists; (v) evidence; (vi) jurisdiction and other procedural issues; and (vii) the narrowing down of contentious issues,,A score of 1 is assigned if a pretrial conference in which at least three of these events are discussed is held within the competent court; 0 if not,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ef_3_b5,,,,"Whether judges within the competent court can use an electronic case management system for at least four of the following purposes: (i) to access laws, regulations and case law; (ii) to automatically generate a hearing schedule for all cases on their docket; (iii) to send notifications (for example, e-mails) to lawyers; (iv) to track the status of a case on their docket; (v) to view and manage case documents (briefs, motions); (vi) to assist in writing judgments; (vii) to semiautomatically generate court orders; and (viii) to view court orders and judgments in a particular case",,A score of 1 is assigned if an electronic case management system is available that judges can use for at least four of these purposes; 0 if not,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ef_3_b6,,,,"Whether lawyers can use an electronic case management system for at least four of the following purposes: (i) to access laws, regulations and case law; (ii) to access forms to be submitted to the court; (iii) to receive notifications (for example, e-mails); (iv) to track the status of a case; (v) to view and manage case documents (briefs, motions); (vi) to file briefs and documents with the court; and (vii) to view court orders and decisions in a particular case",,A score of 1 is assigned if an electronic case management system is available that lawyers can use for at least four of these purposes; 0 if not,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ef_3_c,,,Court automation index,,"edbi_ef_3_c1, edbi_ef_3_c2, edbi_ef_3_c3, edbi_ef_3_c4",,0,4,,3rd order index,,,
World Bank,Ease of Doing Business Index,edbi_ef_3_c1,,,,Whether the initial complaint can be filed electronically through a dedicated platform (not e-mail or fax) within the relevant court,,A score of 1 is assigned if yes; 0 if no,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ef_3_c2,,,,"Whether the initial complaint can be served on the defendant electronically, through a dedicated system or by e-mail, fax or SMS (short message service)",,A score of 1 is assigned if yes; 0 if no,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ef_3_c3,,,,"Whether court fees can be paid electronically, either through a dedicated platform or through online banking",,A score of 1 is assigned if yes; 0 if no,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ef_3_c4,,,,"Whether judgments rendered by local courts are made available to the general public through publication in official gazettes, in newspapers or on the internet",,A score of 1 is assigned if judgments rendered in commercial cases at all levels are made available to the general public; 0.5 if only judgments rendered at the appeal and supreme court level are made available to the general public; 0 in all other instances,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ef_3_d,,,Alternative dispute resolution index,,"edbi_ef_3_d1, edbi_ef_3_d2, edbi_ef_3_d3, edbi_ef_3_d4, edbi_ef_3_d5, edbi_ef_3_d6",,0,3,,3rd order index,,,
World Bank,Ease of Doing Business Index,edbi_ef_3_d1,,,,Whether domestic commercial arbitration is governed by a consolidated law or consolidated chapter or section of the applicable code of civil procedure encompassing substantially all its aspects,,A score of 0.5 is assigned if yes; 0 if no,0,0.5,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ef_3_d2,,,,"Whether there are any commercial disputes—aside from those dealing with public order, public policy, bankruptcy, consumer rights, employment issues or intellectual property—that cannot be submitted to arbitration",,A score of 0.5 is assigned if yes; 0 if no,0,0.5,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ef_3_d3,,,,Whether valid arbitration clauses or agreements are enforced by local courts in more than 50% of cases,,A score of 0.5 is assigned if yes; 0 if no,0,0.5,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ef_3_d4,,,,"Whether voluntary mediation, conciliation or both are a recognized way of resolving commercial disputes",,A score of 0.5 is assigned if yes; 0 if no,0,0.5,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ef_3_d5,,,,"Whether voluntary mediation, conciliation or both are governed by a consolidated law or consolidated chapter or section of the applicable code of civil procedure encompassing substantially all their aspects",,A score of 0.5 is assigned if yes; 0 if no,0,0.5,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ef_3_d6,,,,"Whether there are any financial incentives for parties to attempt mediation or conciliation (for example, if mediation or conciliation is successful, a refund of court filing fees, an income tax credit or the like)",,A score of 0.5 is assigned if yes; 0 if no,0,0.5,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ri,Resolving Insolvency,,,,"edbi_ri_1, edbi_ri_2, edbi_ri_3, edbi_ri_4, edbi_ri_5",,,,,1st order index,,,
World Bank,Ease of Doing Business Index,edbi_ri_1,,Recovery rate (cents on the dollar),,,,"The recovery rate is recorded as cents on the dollar recovered by secured creditors through reorganization, liquidation or debt enforcement (foreclosure or receivership) proceedings",,,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ri_2,,Time (years),,,,Time required to recover debt ,,,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ri_3,,Cost (% of estate),,,,"Includes court fees, fees of insolvency administrators, lawyers' fees, assessors' and auctioneers' fees, and other related fees",,,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ri_4,,Outcome (0 as piecemeal sale and 1 as going concern),,,,Whether the business continues operating as a going concern or whether its assets are sold piecemeal,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ri_5,,Strength of insolvency framework index,,,"edbi_ri_5a, edbi_ri_5b, edbi_ri_5c, edbi_ri_5d","The strength of insolvency framework index is the sum of the scores on the commencement of proceedings index, management of debtor’s assets index, reorganization proceedings index and creditor participation index",0,16,,2nd order index,,,
World Bank,Ease of Doing Business Index,edbi_ri_5_a,,,Commencement of proceedings index,,"edbi_ri_5_a1, edbi_ri_5_a2, edbi_ri_5_a3",,0,3,,3rd order index,,,
World Bank,Ease of Doing Business Index,edbi_ri_5_a1,,,,Whether debtors can initiate both liquidation and reorganization proceedings,,A score of 1 is assigned if debtors can initiate both types of proceedings; 0.5 if they can initiate only one of these types (either liquidation or reorganization); 0 if they cannot initiate insolvency proceedings,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ri_5_a2,,,,Whether creditors can initiate both liquidation and reorganization proceedings,,A score of 1 is assigned if creditors can initiate both types of proceedings; 0.5 if they can initiate only one of these types (either liquidation or reorganization); 0 if they cannot initiate insolvency proceedings,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ri_5_a3,,,,What standard is used for commencement of insolvency proceedings,,A score of 1 is assigned if a liquidity test (the debtor is generally unable to pay its debts as they mature) is used; 0.5 if the balance sheet test (the liabilities of the debtor exceed its assets) is used; 1 if both the liquidity and balance sheet tests are available but only one is required to initiate insolvency proceedings; 0.5 if both tests are required; 0 if a different test is used,0,1,,variable,,,
